"tag"	"lrac"	"sracBin"	"kappa"	"num.srac"	"pident"	"al2ql"	"gapp"
"tig00000001-35"	"tig00000001"	"35"	0.95294366554253	1	0.99411	1.00046684515895	0.817197817011169
"tig00000024-31"	"tig00000024"	"31"	0.879215060472977	1	0.990325	1.00056091738233	0.525974324509578
"tig00000024-2"	"tig00000024"	"2"	0.85931070220543	1	0.99248	1.0004821833261	0.444280625495618
"tig00000013-1"	"tig00000013"	"1"	0.829714327310754	1	0.99156	1.00049564127234	0.326801667970676
"tig00000013-52"	"tig00000013"	"52"	0.80792964709731	1	0.993885	1.00036442429719	0.237469164092046
"tig00000065-68"	"tig00000065"	"68"	0.802536253642229	1	0.98918	1.00110986468481	0.219855149884103
"tig00000013-41"	"tig00000013"	"41"	0.794869928243321	0.983471074380165	0.96649	1.00027344818157	0.22924519041155
"tig00000013-16"	"tig00000013"	"16"	0.769109873818499	1	0.9876	1.00044274176435	0.0883967535096447
"tig00000456-10"	"tig00000456"	"10"	0.736055139493728	1	0.932955	0.0230096534849027	0.988255904490008
"tig00000371-60"	"tig00000371"	"60"	0.731136914924733	0.0347826086956522	0.955235	1.0025694882016	0.931960562801684
"tig00000149-61"	"tig00000149"	"61"	0.726714265786571	0.0450819672131148	0.9776	1.00064643622722	0.883528659705945
"tig00001734-12"	"tig00001734"	"12"	0.726639100273279	0.0133587786259542	0.90675	1.00421052631579	0.982237096151371
"tig00000865-12"	"tig00000865"	"12"	0.722263690620896	0.0209923664122137	0.9382	1.00067681895093	0.929185577120442
"tig00000041-61"	"tig00000041"	"61"	0.721666286437705	0.575819672131147	0.95999	0.520707506471096	0.830147967148578
"tig00001661-54"	"tig00001661"	"54"	0.72015096262427	0.00766283524904215	0.963845	1.00737103293319	0.90172498231485
"tig00000633-60"	"tig00000633"	"60"	0.717243294757999	0.0260869565217391	0.92688	0.926193072213369	0.989813150296889
"tig00000865-26"	"tig00000865"	"26"	0.716917544330559	0.0320284697508897	0.96816	1.00353535353535	0.863946354035992
"tig00000280-26"	"tig00000280"	"26"	0.699202715431565	0.0284697508896797	0.924685	1.00778718759673	0.835868923239853
"tig00000138-31"	"tig00000138"	"31"	0.698613327362241	0.95	0.97236	0.00644049346879536	0.865652815980168
"tig00000535-12"	"tig00000535"	"12"	0.695829528417554	0.00381679389312977	0.88101	0.964029954858869	0.934461364918218
"tig00000040-55"	"tig00000040"	"55"	0.694655428832776	0.897058823529412	0.968795	0.010301399927271	0.902466491874421
"tig00001574-26"	"tig00001574"	"26"	0.69434811596249	0.0106761565836299	0.96519	0.81055354876501	0.990972758501318
"tig00000202-23"	"tig00000202"	"23"	0.686458985646029	0.84	0.97246	0.00198117142346422	0.931394771160653
"tig00000608-26"	"tig00000608"	"26"	0.683155464417044	0.0106761565836299	0.92424	0.857807502180867	0.939898198903681
"tig00000082-7"	"tig00000082"	"7"	0.68180615521574	0.907692307692308	0.98551	0.0044262079360712	0.829596105234579
"tig00001077-43"	"tig00001077"	"43"	0.677601172983535	0.0072463768115942	0.95377	0.925108375759231	0.824279939363315
"tig00001841-39"	"tig00001841"	"39"	0.676635716001276	0.0113207547169811	0.94203	0.909631288766368	0.843560820521754
"tig00000238-49"	"tig00000238"	"49"	0.66967830034732	0.142857142857143	0.96861	0.577039263849716	0.990206794682422
"tig00000986-66"	"tig00000986"	"66"	0.667355910106816	0.0069284064665127	0.95287	1.00119007140428	0.708435162556469
"tig00001758-43"	"tig00001758"	"43"	0.664501623038838	0.0289855072463768	0.96383	0.919406771288505	0.745784213620471
"tig00000184-28"	"tig00000184"	"28"	0.653674586355014	0.703389830508475	0.97674	0.00244093136787505	0.932127583543706
"tig00000063-41"	"tig00000063"	"41"	0.649368327317055	0.0826446280991736	0.979095	1.00055828310051	0.535175398068537
"tig00000379-23"	"tig00000379"	"23"	0.646227833528627	0.8	0.99206	0.00195997757189228	0.790891356542617
"tig00001869-9"	"tig00001869"	"9"	0.645947739416551	0.0152671755725191	0.960345	0.630587529976019	0.977591252117665
"tig00000535-26"	"tig00000535"	"26"	0.645639071307866	0.0106761565836299	0.94996	1.00330760749724	0.618612521150592
"tig00001203-43"	"tig00001203"	"43"	0.642546632256308	0.0072463768115942	0.95689	0.838842911029403	0.767207241184235
"tig00000608-12"	"tig00000608"	"12"	0.639717423447635	0.00763358778625954	0.93279	0.825898468311771	0.792547637692508
"tig00000280-12"	"tig00000280"	"12"	0.639123714293902	0.00954198473282443	0.90513	0.978312964294273	0.66350990814851
"tig00000274-26"	"tig00000274"	"26"	0.636935897798503	0.0391459074733096	0.94966	1.00537428023033	0.553563403490375
"tig00000218-37"	"tig00000218"	"37"	0.635995041802897	0.4	0.936865	0.504683549001949	0.70243161820964
"tig00001386-54"	"tig00001386"	"54"	0.633246392128435	0.0114942528735632	0.94147	0.755747618036444	0.824273697603732
"tig00000917-4"	"tig00000917"	"4"	0.632968041189013	0.666666666666667	0.936835	0.0941144019649899	0.834256096124396
"tig00000785-24"	"tig00000785"	"24"	0.632959708799997	0.0043859649122807	0.969475	0.566446226861974	0.991531643425733
"tig00000075-61"	"tig00000075"	"61"	0.631737396470302	0.489754098360656	0.94855	0.289686458020292	0.798959029500259
"tig00000673-24"	"tig00000673"	"24"	0.629945713722798	0.0043859649122807	0.93764	0.803990554037656	0.773766335941256
"tig00002272-27"	"tig00002272"	"27"	0.628301239064858	0.615384615384615	0.901585	0.00334410496540371	0.992891235909414
"tig00000309-28"	"tig00000309"	"28"	0.628175972435058	0.525423728813559	0.988205	0.00196562918253142	0.997109531744143
"tig00001176-24"	"tig00001176"	"24"	0.628000329576647	0.0043859649122807	0.92533	0.598419590244903	0.983865763149403
"tig00000207-57"	"tig00000207"	"57"	0.626242302252336	0.689655172413793	0.823405	0.00105746685388367	0.990851569741668
"tig00000365-17"	"tig00000365"	"17"	0.626052558605331	0.0130111524163569	0.91229	1.00380073299851	0.57510834900646
"tig00000065-7"	"tig00000065"	"7"	0.624089519611544	0.938461538461538	0.98723	0.00504126519494247	0.565625274789694
"tig00000175-55"	"tig00000175"	"55"	0.62322894301712	0.595588235294118	0.91667	0.00191103089499947	0.978746505879363
"tig00002191-24"	"tig00002191"	"24"	0.623033957085311	0.00657894736842105	0.93755	0.707173857544039	0.840833023428784
"tig00000108-55"	"tig00000108"	"55"	0.622909931879122	0.610294117647059	0.8932	0.00201114509573889	0.986134464773692
"tig00000027-52"	"tig00000027"	"52"	0.62167325097573	0.0462962962962963	0.98221	1.00049996428827	0.457686743318358
"tig00001596-28"	"tig00001596"	"28"	0.621445944456254	0.550847457627119	0.93571	0.00153179570221892	0.997694524495677
